,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,valparaiso,1,US,1567234549,93,41.47,-87.06,63,4.32
1,georgetown,0,GY,1567234736,100,6.8,-58.16,75.2,2.24
2,penzance,75,GB,1567234736,93,50.12,-5.53,62.6,19.46
3,atuona,13,PF,1567234737,79,-9.8,-139.03,79.43,18.37
4,bambous virieux,75,MU,1567234614,57,-20.26,57.41,77,19.46
5,albany,1,US,1567234643,87,42.65,-73.75,62.01,4.7
6,port alfred,0,CD,1567234597,36,-7.04,29.76,77.99,2.59
7,upernavik,87,GL,1567234739,55,72.79,-56.15,44.69,14.94
8,bethel,90,US,1567234739,87,60.79,-161.76,57.2,6.93
9,nanortalik,1,GL,1567234740,89,60.14,-45.24,41.09,2.51
10,banyo,100,CM,1567234266,95,6.75,11.81,63.95,1.72
11,punta arenas,75,PH,1567234553,74,14.18,121.12,86,14.99
12,mercedes,0,UY,1567234697,88,-33.25,-58.03,46.99,1.01
13,karpogory,98,RU,1567234743,67,64,44.44,56.21,1.86
14,lebu,11,ET,1567234744,78,8.96,38.73,61.25,4.12
15,maputo,40,MZ,1567234744,88,-25.97,32.57,71.6,2.24
16,kapaa,20,US,1567234746,69,22.08,-159.32,82.4,10.29
17,rikitea,72,PF,1567234487,76,-23.12,-134.97,72.23,20.31
18,kavieng,99,PG,1567234224,71,-2.57,150.8,84.11,5.95
19,longyearbyen,75,NO,1567234746,100,78.22,15.63,42.8,3.36
20,victoria,75,BN,1567234747,46,5.28,115.24,93.2,6.93
21,umtata,75,ZA,1567234729,87,-31.59,28.78,53.6,4.7
22,fujin,16,CN,1567234748,67,47.24,132.03,71.33,13.94
23,ushuaia,40,AR,1567234474,74,-54.81,-68.31,37.4,14.99
24,mataura,57,NZ,1567234751,85,-46.19,168.86,51.01,13
25,merauke,0,ID,1567234755,78,-8.49,140.4,76.91,21.39
26,yellowknife,20,CA,1567234674,70,62.45,-114.38,42.8,3.36
27,charlestown,1,US,1567234624,88,41.38,-71.64,70,3.85
28,esperance,23,AU,1567234680,48,-33.86,121.89,64.4,25.28
29,puerto ayora,0,AR,1567234543,86,-51.62,-69.23,37.4,20.8
...,...,...,...,...,...,...,...,...,...
510,luderitz,0,NA,1567235250,58,-26.65,15.16,55.4,20.8
511,hirara,75,JP,1567234719,74,24.8,125.28,89.6,10.29
512,juneau,20,US,1567235250,87,58.3,-134.42,55.99,5.61
513,riyadh,0,SA,1567235147,9,24.63,46.72,100.4,4.7
514,kysyl-syr,46,RU,1567235251,43,63.9,122.77,67.01,4.72
515,atambua,66,ID,1567235251,65,-9.11,124.89,76.19,6.15
516,iralaya,32,HN,1567235251,93,15,-83.23,74.75,1.03
517,brae,68,GB,1567234681,93,60.4,-1.35,53.6,4.7
518,porto novo,75,PT,1567234605,100,41.15,-8.61,64,5.82
519,kandrian,46,PG,1567235252,67,-6.21,149.55,80.87,11.83
520,mitu,1,IR,1567234728,40,36.2,46.09,74.21,2.51
521,mnogovershinnyy,100,RU,1567235252,91,53.94,139.92,55.13,3.89
522,esso,85,RU,1567235252,62,55.93,158.7,52.25,6.91
523,esna,5,RO,1567235253,44,45.2,27.57,77,9.17
524,calabozo,0,VE,1567235253,96,8.92,-67.43,72.95,2.62
525,minudasht,0,IR,1567235253,37,37.23,55.37,84.2,9.17
526,parfenyevo,55,RU,1567235253,63,58.48,43.41,56.39,2.57
527,caucaia,75,BR,1567235253,69,-3.73,-38.66,78.8,13.87
528,kyren,55,RU,1567235254,31,51.68,102.13,67.19,0.81
529,saint-georges,77,CA,1567235254,85,46.12,-70.67,55.99,1.01
530,montepulciano,78,IT,1567235254,88,43.09,11.78,78.01,4.7
531,ngunguru,0,NZ,1567235255,75,-35.62,174.5,53.01,4
532,olupona,98,NG,1567235255,98,7.6,4.18,71.69,3.58
533,tilichiki,66,RU,1567235255,69,60.47,166.1,56.93,10.09
534,launceston,68,AU,1567235256,62,-41.43,147.14,54,18.34
535,sai buri,0,FR,1567235256,87,48.74,0.03,64.99,4.7
536,bassila,57,BJ,1567235257,94,9,1.66,71.15,2.19
537,skibbereen,20,IE,1567235257,87,51.55,-9.27,51.8,10.29
538,saint-pierre,0,FR,1567235065,67,48.95,4.24,66.99,5.82
539,progreso,17,UY,1567235259,93,-34.68,-56.22,52,3.4
